id,name
rrhh,RRHH
costo,Costo
legal,Legal
pagos,Pagos
ventas,Ventas
almacen,Almacén
compras,Compras
regencia,Regencia
sistemas,Sistemas
tesoreria,Tesorería
suministro,Suministro
contraloria,Contraloría
facturacion,Facturación
contabilidad,Contabilidad
distribucion,Distribución
devoluciones,Devoluciones
cobranzas,Crédito y Cobranzas
transporte,Transporte
operaciones,Operaciones
mercadeo,Mercadeo
tributos,Tributos
caja,Caja
planificacion_financiera,Planificación Financiera
inventario,Administración de Inventario
servicios_generales,Servicios Generales
gestion_de_calidad,Gestión de Calidad