id,code,name,ref,active,region_id:id,zones_ids:id
district_1,00001,CARACAS,00001,True,region_1,
district_2,00002,ORIENTE-NORTE,00002,True,region_2,
district_3,00003,ORIENTE-SUR,00003,True,region_2,
district_4,00004,CENTRO-LLANO,00004,True,region_3,
district_5,00005,CENTRO-OCCIDENTE,00005,True,region_4,
district_6,00006,ANDES,00006,True,region_5,
district_7,00007,ZULIA-FALCON,00007,True,region_6,
district_8,00008,CORPORATIVO,00008,True,region_7,
district_9,00012,DROGUERIA NENA,00012,True,region_10,
district_10,00013,CC ORIENTE-NORTE,00013,True,region_10,
district_11,00014,CC OCCIDENTE,00014,True,region_10,
district_12,00015,CC ZULIA-FALCON,00015,True,region_10,
district_13,00016,KX CARACAS ORIENTE,00016,True,region_10,
district_14,00017,KX CENTRO OCCIDENTE ANDES,00017,True,region_10,
district_15,00018,CC CARACAS-ESTE,00018,True,region_10,
district_16,00019,CC CARACAS-OESTE,00019,True,region_10,
district_17,00020,CC ORIENTE SUR,00020,True,region_10,
district_18,00021,NACIONAL,00021,True,region_10,
district_19,00022,LLANOS CENTRALES,00022,True,region_10,
district_20,00023,CUENTAS CLAVES,00023,True,region_10,